[2024-10-27 20:15:45] Protocol: TCP, Source: 52.168.117.169, Destination: 172.18.220.6, Size: 89 bytes, TTL: 106, Flags: DF
[2024-10-27 20:15:45] Protocol: TCP, Source: 52.168.117.169, Destination: 172.18.220.6, Size: 154 bytes, TTL: 106, Flags: DF
[2024-10-27 21:25:21] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 60 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:21] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 66 bytes, TTL: 102, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 153 bytes, TTL: 102, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 635 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 11304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 2554 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 210 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 56, Flags: DF
[2024-10-27 21:25:22] Protocol: TCP, Source: 23.53.240.171, Destination: 172.18.220.6, Size: 12554 bytes, TTL: 56, Flags: DF
