[2024-10-27 20:15:41] Protocol: UDP, Source: 172.18.217.219, Destination: 255.255.255.255, Size: 176 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:41] Protocol: UDP, Source: 172.18.217.219, Destination: 255.255.255.255, Size: 176 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:41] Protocol: UDP, Source: 172.18.219.226, Destination: 172.18.223.255, Size: 92 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:42] Protocol: UDP, Source: 172.18.211.89, Destination: 255.255.255.255, Size: 277 bytes, TTL: 64, Flags: DF
[2024-10-27 20:15:42] Protocol: UDP, Source: 0.0.0.0, Destination: 255.255.255.255, Size: 340 bytes, TTL: 64, Flags: DF
[2024-10-27 20:15:42] Protocol: UDP, Source: 0.0.0.0, Destination: 255.255.255.255, Size: 350 bytes, TTL: 64, Flags: DF
[2024-10-27 20:15:42] Protocol: UDP, Source: 0.0.0.0, Destination: 255.255.255.255, Size: 342 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:42] Protocol: UDP, Source: 0.0.0.0, Destination: 255.255.255.255, Size: 342 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:42] Protocol: UDP, Source: 0.0.0.0, Destination: 255.255.255.255, Size: 352 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:42] Protocol: UDP, Source: 172.18.208.66, Destination: 255.255.255.255, Size: 275 bytes, TTL: 64, Flags: DF
[2024-10-27 20:15:42] Protocol: UDP, Source: 172.18.211.162, Destination: 172.18.215.255, Size: 110 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:42] Protocol: UDP, Source: 172.18.211.162, Destination: 172.18.215.255, Size: 110 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:42] Protocol: UDP, Source: 172.18.211.162, Destination: 172.18.215.255, Size: 110 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:42] Protocol: UDP, Source: 172.18.211.162, Destination: 172.18.215.255, Size: 110 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:42] Protocol: UDP, Source: 172.18.211.162, Destination: 172.18.215.255, Size: 110 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:42] Protocol: UDP, Source: 172.18.211.162, Destination: 172.18.215.255, Size: 110 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:43] Protocol: UDP, Source: 172.18.209.88, Destination: 255.255.255.255, Size: 71 bytes, TTL: 64, Flags: DF
[2024-10-27 20:15:43] Protocol: UDP, Source: 172.18.218.206, Destination: 172.18.223.255, Size: 83 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:43] Protocol: UDP, Source: 172.18.218.206, Destination: 172.18.223.255, Size: 83 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:43] Protocol: UDP, Source: 172.18.219.226, Destination: 172.18.223.255, Size: 92 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:43] Protocol: UDP, Source: 0.0.0.0, Destination: 255.255.255.255, Size: 342 bytes, TTL: 255, Flags: 
[2024-10-27 20:15:43] Protocol: UDP, Source: 172.18.211.162, Destination: 172.18.215.255, Size: 110 bytes, TTL: 128, Flags: 
[2024-10-27 20:15:43] Protocol: UDP, Source: 172.18.211.162, Destination: 172.18.215.255, Size: 110 bytes, TTL: 128, Flags: 
